Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL3798424,,0,605.69,2,7.94,12e,COC(=O)c1nn(-c2ccc(Oc3ccccc3)cc2)c(-c2ccc(OC(C)C)cc2)c1NC(=O)c1ccc(OC(C)C)cc1,Ki,'=',4280,nM,5.37,,,UO_0000065,8.86,0.16,-2.57,5.32,FALSE,CHEMBL3801199,Displacement of FAM-p53TAD peptide from N-terminal 8x His-tagged human MDM2 (25 to 108 residues) expressed in Escherichia coli BL21 (DE3) after 30 mins by fluorescence polarization assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3797039,1,Scientific Literature,J. Med. Chem.,2016,None,
CHEMBL4537250,,0,548.49,1,4.91,31; MI-888,CC(C)(C)C[C@H]1NC(C(=O)N[C@H]2C[C@@](C)(O)C2)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12,Ki,'=',0.44,nM,9.36,,,UO_0000065,17.06,0.35,4.45,10.34,FALSE,CHEMBL4352997,Inhibition of wild type p53 protein binding to MDM2 in human HCT116 cells by immunoblot analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL4350977,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL3407579,,0,495.89,0,4.55,24,CC(C)(C)NC(=O)C(c1c(C(=O)O)[nH]c2cc(Cl)ccc12)N(C=O)Cc1cc(F)c(F)c(F)c1,Ki,'=',130,nM,6.89,,,UO_0000065,13.89,0.28,2.34,6.72,FALSE,CHEMBL3413423,Binding affinity to MDM2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3407475,1,Scientific Literature,J. Med. Chem.,2015,None,
CHEMBL1233798,,0,462.34,1,6.75,1; WK23,O=C(O)c1[nH]c2cc(Cl)ccc2c1-c1c(-c2ccccc2)ncn1Cc1ccc(Cl)cc1,Ki,'=',920,nM,6.04,,,UO_0000065,13.06,0.26,-0.71,8.51,FALSE,CHEMBL3737093,Competition binding affinity to MDM2 (unknown origin) using p53 mimicking peptide TSFAEYWNLLSP after 30 mins by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3734728,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2015,None,
CHEMBL514709,,0,281.31,0,3.2,1b,COc1ccc(/C=C2/C(=O)Nc3ccccc32)c(OC)c1,Ki,'=',93,nM,7.03,,,UO_0000065,25,0.46,3.83,14.78,FALSE,CHEMBL3271858,Binding affinity to MDM2 (1 to 118) (unknown origin) after 30 mins by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3259813,1,Scientific Literature,Eur. J. Med. Chem.,2014,None,
CHEMBL3265096,,0,337.42,0,4.76,4b,CCCOc1ccc(/C=C2/C(=O)Nc3ccccc32)c(OCCC)c1,Ki,'=',230,nM,6.64,,,UO_0000065,19.67,0.36,1.88,13.96,FALSE,CHEMBL3271858,Binding affinity to MDM2 (1 to 118) (unknown origin) after 30 mins by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3259813,1,Scientific Literature,Eur. J. Med. Chem.,2014,None,
CHEMBL3260847,,0,441.92,0,4.13,YH119,CC(C)(C)NC(=O)C(c1c(C(=O)O)[nH]c2cc(Cl)ccc12)N(C=O)Cc1ccccc1,Ki,'=',1800,nM,5.75,,,UO_0000065,13,0.25,1.61,5.6,TRUE,CHEMBL3267619,Displacement of fluorescent P4 peptide from MDM2 (unknown origin) by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3259607,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014,None,
CHEMBL4159944,,0,596.17,2,7.41,1g,COc1ccc(CN2C(=O)CCCCCCCCCCCCCNC(=O)C2c2c(C(=O)O)[nH]c3cc(Cl)ccc23)cc1,Ki,'=',1300,nM,5.89,,,UO_0000065,9.87,0.19,-1.52,5.27,FALSE,CHEMBL4135533,Displacement of 5'FAM-LTFEHYWAQLTS from recombinant human N-terminal MDM2 (1 to 118 residues) expressed in Escherichia coli BL21-CodonPlus(DE3)-RIL after 15 mins by fluorescence polarization assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL4130521,1,Scientific Literature,ACS Med Chem Lett,2017,None,
CHEMBL4167203,,0,634.14,2,8.21,1j,O=C(O)c1[nH]c2cc(Cl)ccc2c1C1C(=O)NCCCCCCCCCCCCCCC(=O)N1Cc1cc(F)c(F)c(F)c1,Ki,'=',140,nM,6.85,,,UO_0000065,10.81,0.21,-1.36,6.69,FALSE,CHEMBL4135533,Displacement of 5'FAM-LTFEHYWAQLTS from recombinant human N-terminal MDM2 (1 to 118 residues) expressed in Escherichia coli BL21-CodonPlus(DE3)-RIL after 15 mins by fluorescence polarization assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL4130521,1,Scientific Literature,ACS Med Chem Lett,2017,None,
CHEMBL3627743,,0,496.57,1,5.03,17,Cc1ccc(-c2cn(CCC[C@H](NC(=O)OCC3c4ccccc4-c4ccccc43)C(=O)O)nn2)cc1,Ki,'=',3050,nM,5.52,,,UO_0000065,11.11,0.2,0.49,5.19,FALSE,CHEMBL3629966,Inhibition of human MDM2 (17 to 125 residues) assessed as apparent inhibition constant for reduction in MDM2 interaction with FAM-LTFEHYWAQLTS-CONH2 peptide incubated for 30 mins by fluorescence polarisation assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5023,p53-binding protein Mdm-2,Homo sapiens,SINGLE PROTEIN,CHEMBL3627641,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2015,None,
